Wall time,Step,Value
1617832947,5021,1.770100929
1617832987,5027,0.895958394
1617833008,5030,0.952260476
1617833055,5037,1.175156981
1617833144,5050,2.271358483
1617833157,5052,3.049454652
1617833164,5053,0.73170769
1617833211,5060,2.617320232
1617833334,5078,1.497290377
1617833442,5094,0.892035849
1617833490,5101,0.600052392
1617833524,5106,2.692120895
1617833531,5107,0.902984198
1617833572,5113,0.5803796
1617833660,5126,0.811703876
1617833674,5128,0.775862439
1617833714,5134,0.672595808
1617833734,5137,1.834371686
1617833891,5160,0.615724595
1617833925,5165,0.888972636
1617834013,5178,0.815373473
1617834040,5182,1.456879079
1617834175,5200,2.688255906
1617834249,5208,0.885882322
1617834454,5231,1.906032301
1617834481,5234,1.502830349
1617834493,5235,1.802425832
1617834512,5237,0.97432062
1617834527,5239,1.412364561
1617834534,5240,1.414885651
1617834576,5244,1.81214828
1617834753,5262,0.62654838
1617834801,5266,0.852266792
1617835002,5289,1.981136762
1617835090,5302,0.988361146
1617835145,5310,0.981616974
1617835199,5318,0.875515305
1617835273,5329,1.08927032
1617835280,5330,1.354869548
1617835382,5345,0.689556636
1617835402,5348,2.434253506
1617835477,5359,1.664342918
1617835484,5360,2.238402516
1617835504,5363,0.963018555
1617835619,5380,1.455660816
1617835646,5384,1.186948735
1617835734,5397,1.419530995
1617835768,5402,0.850791205
1617835782,5404,1.268538181
1617835795,5406,1.401187666
1617835856,5415,1.440190803
1617835890,5420,0.405637175
1617835924,5425,1.408597454
1617836019,5439,2.496702038
1617836026,5440,0.393147022
1617836039,5442,0.296935509
1617836073,5447,1.82011649
1617836264,5475,1.683315821
1617836324,5484,0.886805356
1617836372,5491,0.499726087
1617836399,5495,1.303436793
1617836440,5501,2.053371631
1617836480,5507,0.886648521
1617836514,5512,1.039228588
1617836535,5515,0.86454479
1617836548,5517,0.910632685
1617836651,5532,1.195986569
1617836712,5541,1.498595718
1617836766,5549,0.743736792
1617836834,5559,1.109745447
1617836881,5566,1.053139195
1617836915,5571,0.416070549
1617836928,5573,0.832989253
1617836942,5575,0.850704778
1617836949,5576,1.604725979
1617837010,5585,0.94064204
1617837023,5587,1.564789936
1617837064,5593,0.787214469
1617837146,5605,0.549166743
1617837180,5610,1.346714329
1617837234,5618,0.734757911
1617837248,5620,1.65306963
1617837316,5630,1.954674907
1617837329,5632,1.306173857
1617837431,5647,0.596609665
1617837506,5658,1.044914033
1617837519,5660,1.217980962
1617837547,5664,1.639581285
1617837560,5666,1.693911478
1617837628,5676,0.749361655
1617837649,5679,1.481323875
1617837879,5713,1.904219761
1617837927,5720,2.554420196
1617837947,5723,0.590921519
1617837974,5727,0.517693907
1617838069,5741,0.33471596
1617838143,5752,1.586232148
1617838191,5759,1.136448141
1617838238,5766,2.290039323
1617838306,5776,1.533935964
1617838326,5779,0.833419338
1617838360,5784,0.35834061
1617838394,5789,1.533668023
1617838435,5795,2.356146835
1617838448,5797,0.752581563
1617838516,5807,1.450794283
1617838523,5808,0.816764683
1617838638,5825,0.622948073
1617838659,5828,1.395438425
1617838707,5835,1.096161734
